time,local_time,radiation_surface
01/01/2020 00:00,01/01/2020 00:00,0
01/01/2020 01:00,01/01/2020 01:00,0
01/01/2020 02:00,01/01/2020 02:00,0
01/01/2020 03:00,01/01/2020 03:00,0
01/01/2020 04:00,01/01/2020 04:00,0
01/01/2020 05:00,01/01/2020 05:00,0
01/01/2020 06:00,01/01/2020 06:00,0
01/01/2020 07:00,01/01/2020 07:00,0
01/01/2020 08:00,01/01/2020 08:00,52.555
01/01/2020 09:00,01/01/2020 09:00,196.192
01/01/2020 10:00,01/01/2020 10:00,324.742
01/01/2020 11:00,01/01/2020 11:00,408.478
01/01/2020 12:00,01/01/2020 12:00,437.022
01/01/2020 13:00,01/01/2020 13:00,408.388
01/01/2020 14:00,01/01/2020 14:00,323.894
01/01/2020 15:00,01/01/2020 15:00,200.561
01/01/2020 16:00,01/01/2020 16:00,65.702
01/01/2020 17:00,01/01/2020 17:00,0.448
01/01/2020 18:00,01/01/2020 18:00,0
01/01/2020 19:00,01/01/2020 19:00,0
01/01/2020 20:00,01/01/2020 20:00,0
01/01/2020 21:00,01/01/2020 21:00,0
01/01/2020 22:00,01/01/2020 22:00,0
01/01/2020 23:00,01/01/2020 23:00,0
01/02/2020 00:00,01/02/2020 00:00,0
01/02/2020 01:00,01/02/2020 01:00,0
01/02/2020 02:00,01/02/2020 02:00,0
01/02/2020 03:00,01/02/2020 03:00,0
01/02/2020 04:00,01/02/2020 04:00,0
01/02/2020 05:00,01/02/2020 05:00,0
01/02/2020 06:00,01/02/2020 06:00,0
01/02/2020 07:00,01/02/2020 07:00,0
01/02/2020 08:00,01/02/2020 08:00,33.843
01/02/2020 09:00,01/02/2020 09:00,108.227
01/02/2020 10:00,01/02/2020 10:00,195.745
01/02/2020 11:00,01/02/2020 11:00,258.17
01/02/2020 12:00,01/02/2020 12:00,327.823
01/02/2020 13:00,01/02/2020 13:00,282.904
01/02/2020 14:00,01/02/2020 14:00,206.928
01/02/2020 15:00,01/02/2020 15:00,123.968
01/02/2020 16:00,01/02/2020 16:00,34.016
01/02/2020 17:00,01/02/2020 17:00,0.248
01/02/2020 18:00,01/02/2020 18:00,0
01/02/2020 19:00,01/02/2020 19:00,0
01/02/2020 20:00,01/02/2020 20:00,0
01/02/2020 21:00,01/02/2020 21:00,0
01/02/2020 22:00,01/02/2020 22:00,0
01/02/2020 23:00,01/02/2020 23:00,0
01/03/2020 00:00,01/03/2020 00:00,0
01/03/2020 01:00,01/03/2020 01:00,0
01/03/2020 02:00,01/03/2020 02:00,0
01/03/2020 03:00,01/03/2020 03:00,0
01/03/2020 04:00,01/03/2020 04:00,0
01/03/2020 05:00,01/03/2020 05:00,0
01/03/2020 06:00,01/03/2020 06:00,0
01/03/2020 07:00,01/03/2020 07:00,0
01/03/2020 08:00,01/03/2020 08:00,14.373
01/03/2020 09:00,01/03/2020 09:00,47.577
01/03/2020 10:00,01/03/2020 10:00,92.14
01/03/2020 11:00,01/03/2020 11:00,138.748
01/03/2020 12:00,01/03/2020 12:00,164.957
01/03/2020 13:00,01/03/2020 13:00,152.087
01/03/2020 14:00,01/03/2020 14:00,108.874
01/03/2020 15:00,01/03/2020 15:00,71.631
01/03/2020 16:00,01/03/2020 16:00,29.086
01/03/2020 17:00,01/03/2020 17:00,0.246
01/03/2020 18:00,01/03/2020 18:00,0
01/03/2020 19:00,01/03/2020 19:00,0
01/03/2020 20:00,01/03/2020 20:00,0
01/03/2020 21:00,01/03/2020 21:00,0
01/03/2020 22:00,01/03/2020 22:00,0
01/03/2020 23:00,01/03/2020 23:00,0
01/04/2020 00:00,01/04/2020 00:00,0
01/04/2020 01:00,01/04/2020 01:00,0
01/04/2020 02:00,01/04/2020 02:00,0
01/04/2020 03:00,01/04/2020 03:00,0
01/04/2020 04:00,01/04/2020 04:00,0
01/04/2020 05:00,01/04/2020 05:00,0
01/04/2020 06:00,01/04/2020 06:00,0
01/04/2020 07:00,01/04/2020 07:00,0
01/04/2020 08:00,01/04/2020 08:00,48.794
01/04/2020 09:00,01/04/2020 09:00,178.351
01/04/2020 10:00,01/04/2020 10:00,303.796
01/04/2020 11:00,01/04/2020 11:00,399.19
