temperature,air_density,radiation_surface
7.155,1.251,0
6.868,1.252,0
6.559,1.254,0
6.31,1.255,0
6.166,1.257,0
5.936,1.259,0
5.741,1.26,0
5.521,1.262,0
5.72,1.263,52.555
7.383,1.263,196.192
8.931,1.259,324.742
10.767,1.25,408.478
11.896,1.245,437.022
12.471,1.241,408.388
12.497,1.24,323.894
12.158,1.239,200.561
11.451,1.24,65.702
10.783,1.241,0.448
10.48,1.242,0
10.148,1.242,0
9.67,1.243,0
9.057,1.243,0
8.43,1.244,0
7.808,1.245,0
7.252,1.246,0
6.847,1.247,0
6.585,1.248,0
6.502,1.25,0
6.325,1.252,0
6.125,1.253,0
6.126,1.255,0
6.186,1.256,0
7.017,1.257,33.843
8.253,1.258,108.227
9.261,1.255,195.745
10.375,1.25,258.17
11.18,1.246,327.823
11.508,1.243,282.904
11.472,1.242,206.928
11.162,1.242,123.968
10.481,1.243,34.016
9.824,1.243,0.248
9.749,1.244,0
9.619,1.244,0
9.625,1.245,0
9.814,1.246,0
9.937,1.246,0
9.935,1.247,0
9.945,1.247,0
10.029,1.246,0
10.1,1.246,0
10.193,1.246,0
10.275,1.245,0
10.312,1.245,0
10.279,1.246,0
10.267,1.246,0
10.36,1.247,14.373
10.641,1.248,47.577
10.973,1.247,92.14
11.45,1.245,138.748
11.994,1.243,164.957
12.367,1.24,152.087
12.503,1.239,108.874
12.438,1.238,71.631
12.082,1.238,29.086
11.774,1.239,0.246
11.368,1.24,0
10.941,1.241,0
10.612,1.242,0
10.419,1.243,0
10.322,1.244,0
10.108,1.244,0
9.673,1.245,0
9.105,1.247,0
8.705,1.25,0
8.367,1.252,0
8.046,1.254,0
7.828,1.256,0
7.666,1.257,0
7.494,1.259,0
7.8,1.26,48.794
8.851,1.26,178.351
9.77,1.257,303.796
10.95,1.252,399.19
12.193,1.245,442.032
12.839,1.241,419.261
13.009,1.238,342.678
12.623,1.239,220.978
11.109,1.241,76.235
9.345,1.244,0.634
8.755,1.249,0
8.224,1.253,0
7.61,1.257,0
7.213,1.259,0
6.882,1.261,0
6.626,1.263,0
6.209,1.264,0
5.928,1.265,0
5.689,1.266,0
5.502,1.267,0
5.305,1.268,0
5.233,1.269,0
5.033,1.27,0
4.802,1.271,0.002
5.191,1.271,56.275
6.584,1.268,203.789
8.325,1.261,334.804
9.934,1.253,421.692
11.335,1.245,454.954
12.214,1.24,430.46
12.589,1.237,351.526
12.622,1.236,227.16
11.867,1.236,79.639
11.014,1.238,0.741
10.475,1.24,0
9.8,1.242,0
8.768,1.244,0
7.672,1.246,0
6.691,1.248,0
6.214,1.251,0
5.934,1.253,0
5.635,1.254,0
5.454,1.255,0
5.393,1.256,0
5.35,1.257,0
5.198,1.257,0
5.209,1.257,0
5.463,1.258,0.005
5.924,1.26,42.26
7.235,1.261,143.882
8.519,1.258,264.218
10.584,1.249,333.202
11.718,1.243,325.9
11.933,1.242,298.731
11.883,1.241,231.596
11.508,1.241,149.559
10.203,1.243,58.823
9.262,1.244,0.702
9.054,1.246,0
9.082,1.246,0
9.07,1.247,0
8.688,1.248,0
8.061,1.249,0
7.375,1.251,0
6.656,1.252,0
5.944,1.255,0
5.438,1.258,0
5.344,1.261,0
5.163,1.265,0
4.687,1.268,0
4.4,1.27,0
4.23,1.272,0.008
4.519,1.274,58.703
6.136,1.272,208.455
7.935,1.265,339.379
9.938,1.256,426.694
11.28,1.249,458.72
12.111,1.244,433.613
12.38,1.242,353.921
12.192,1.241,228.75
11.148,1.243,81.015
10.209,1.244,0.931
9.771,1.245,0
9.331,1.246,0
8.733,1.248,0
7.96,1.249,0
7.213,1.251,0
6.59,1.252,0
6.272,1.254,0
6.062,1.255,0
6.041,1.257,0
5.941,1.257,0
5.819,1.258,0
5.818,1.259,0
5.908,1.259,0
5.956,1.26,0.015
6.554,1.261,55.803
8.157,1.259,195.174
9.875,1.253,318.035
11.927,1.243,396.395
13.656,1.234,413.1
14.515,1.228,376.181
14.448,1.226,291.532
13.9,1.227,171.176
12.649,1.23,54.128
11.662,1.233,0.561
11.621,1.235,0
11.671,1.236,0
11.554,1.236,0
11.227,1.236,0
10.896,1.235,0
10.694,1.235,0
10.521,1.235,0
10.335,1.235,0
10.304,1.235,0
10.312,1.236,0
10.35,1.236,0
10.559,1.237,0
10.563,1.238,0
10.452,1.239,0.013
10.592,1.239,34.346
11.314,1.237,106.891
12.404,1.233,211.918
13.416,1.227,227.878
13.695,1.225,170.88
13.853,1.225,320.017
13.63,1.227,326.591
12.943,1.23,177.24
11.997,1.234,69.337
10.894,1.239,0.963
10.035,1.243,0
9.243,1.246,0
8.536,1.247,0
8.25,1.248,0
8.087,1.249,0
7.905,1.25,0
7.568,1.251,0
7.282,1.251,0
7.012,1.252,0
6.764,1.253,0
6.701,1.255,0
6.651,1.256,0
6.253,1.258,0
5.992,1.26,0.035
6.674,1.262,58.488
8.104,1.262,196.359
9.685,1.256,336.062
11.073,1.249,423.215
11.849,1.245,459.069
12.347,1.242,436.978
12.563,1.239,356.689
12.38,1.238,227.786
11.133,1.238,80.896
9.892,1.24,1.328
9.461,1.241,0
9.109,1.243,0
8.755,1.245,0
8.349,1.246,0
7.897,1.248,0
7.366,1.249,0
6.785,1.251,0
6.416,1.254,0
6.062,1.259,0
5.902,1.263,0
5.547,1.266,0
5.273,1.268,0
5.027,1.269,0
4.861,1.27,0.062
5.302,1.272,64.962
6.705,1.269,215.718
8.598,1.261,348.587
10.448,1.252,437.023
11.899,1.244,471.158
12.775,1.239,444.431
13.046,1.236,356.209
12.887,1.236,225.851
11.753,1.238,82.946
10.875,1.24,1.553
10.542,1.242,0
10.161,1.244,0
9.574,1.245,0
8.829,1.246,0
8.139,1.247,0
7.672,1.249,0
7.245,1.25,0
6.723,1.252,0
6.198,1.253,0
5.683,1.255,0
5.275,1.256,0
4.997,1.258,0
4.844,1.26,0
4.678,1.262,0.099
5.302,1.264,59.824
7.152,1.265,192.304
8.661,1.261,315.061
10.541,1.252,400.507
11.784,1.245,432.61
12.26,1.242,408.398
12.297,1.24,328.472
11.973,1.24,213.104
11.078,1.241,75.928
10.336,1.242,1.568
10.084,1.243,0
9.774,1.244,0
9.278,1.244,0
8.569,1.245,0
7.764,1.246,0
6.978,1.248,0
6.257,1.249,0
5.823,1.25,0
5.845,1.252,0
5.914,1.254,0
5.967,1.255,0
5.669,1.257,0
5.891,1.258,0
6.226,1.258,0.079
6.516,1.259,27.656
7.151,1.258,102.521
8.091,1.254,167.962
8.818,1.25,174.598
9.256,1.246,144.854
9.531,1.243,114.96
9.693,1.241,94.202
9.768,1.24,55.138
9.789,1.238,21.521
9.818,1.237,0.407
9.976,1.237,0
10.101,1.236,0
10.098,1.236,0
10.074,1.235,0
10.099,1.235,0
10.142,1.234,0
10.161,1.234,0
10.233,1.233,0
10.376,1.231,0
10.288,1.231,0
10.129,1.232,0
10.039,1.232,0
9.929,1.233,0
9.793,1.234,0.105
9.824,1.234,45.743
10.317,1.233,128.062
11.138,1.23,264.81
12.067,1.226,371.205
12.669,1.221,374.056
12.961,1.219,337.989
13.078,1.217,262.354
13.047,1.216,171.3
12.757,1.216,58.18
12.428,1.217,1.255
12.31,1.218,0
12.287,1.218,0
12.313,1.218,0
12.346,1.217,0
12.451,1.216,0
12.539,1.216,0
12.529,1.216,0
12.544,1.215,0
12.614,1.214,0
12.674,1.214,0
12.746,1.213,0
12.805,1.213,0
12.82,1.214,0
12.744,1.215,0.023
12.572,1.217,10.234
12.622,1.219,62.695
12.993,1.22,130.16
13.636,1.218,205.108
13.96,1.215,266.233
14.269,1.213,259.712
14.469,1.211,216.891
14.608,1.21,186.738
14.236,1.211,69.744
13.77,1.213,1.787
13.764,1.214,0
13.84,1.214,0
13.898,1.214,0
13.862,1.215,0
13.821,1.215,0
13.856,1.215,0
13.892,1.215,0
13.875,1.215,0
13.726,1.216,0
13.604,1.217,0
13.498,1.217,0
13.411,1.218,0
13.366,1.218,0
13.351,1.218,0.097
13.404,1.218,28.704
13.642,1.218,97.601
13.876,1.217,125.057
13.961,1.216,110.617
13.972,1.215,103.32
13.993,1.214,95.14
14.058,1.212,81.359
14.013,1.211,67.679
13.773,1.213,39.795
13.373,1.215,1.214
13.087,1.218,0
12.482,1.221,0
11.624,1.224,0
11.192,1.225,0
11.243,1.226,0
11.465,1.227,0
11.35,1.228,0
11.287,1.229,0
11.285,1.231,0
11.164,1.233,0
10.837,1.235,0
10.456,1.237,0
9.902,1.239,0
9.678,1.241,0.29
10.12,1.243,39.354
11.27,1.244,144.091
12.543,1.244,303.82
13.028,1.241,432.013
13.525,1.238,475.962
13.634,1.237,455.923
13.467,1.237,360.339
12.962,1.237,154.916
12.267,1.238,43.15
12.025,1.239,1.189
11.87,1.239,0
11.077,1.24,0
10.104,1.239,0
10.101,1.239,0
10.308,1.241,0
9.997,1.244,0
10.019,1.243,0
10.13,1.242,0
10.522,1.239,0
10.823,1.237,0
11.083,1.234,0
11.414,1.232,0
11.922,1.228,0
12.643,1.224,0.059
13.373,1.22,27.779
14.055,1.218,85.392
14.235,1.219,159.591
14.318,1.221,360.122
14.326,1.222,390.966
14.169,1.222,366.511
13.822,1.223,290.245
13.295,1.225,181.7
12.593,1.228,41.544
11.826,1.231,1.126
11.231,1.235,0
10.984,1.236,0
11.063,1.235,0
11.164,1.235,0
11.093,1.234,0
10.877,1.236,0
10.617,1.237,0
10.329,1.239,0
9.87,1.242,0
9.474,1.244,0
9.085,1.245,0
8.912,1.247,0
8.72,1.249,0
8.428,1.252,0.573
8.504,1.253,66.224
9.31,1.251,236.378
10.842,1.246,373.095
12.266,1.24,464.68
13.22,1.235,500.98
13.765,1.231,477.458
13.876,1.229,396.503
13.475,1.229,266.283
12.346,1.232,109.251
10.563,1.238,4.197
9.527,1.245,0
8.899,1.252,0
8.113,1.257,0
7.479,1.261,0
7.091,1.263,0
6.797,1.264,0
6.571,1.264,0
6.491,1.265,0
6.378,1.265,0
6.16,1.265,0
5.877,1.267,0
5.624,1.268,0
5.393,1.269,0
5.202,1.27,0.908
5.636,1.27,86.844
6.835,1.266,246.13
8.187,1.259,379.894
9.281,1.253,470.84
10.071,1.248,507.662
10.52,1.244,482.575
10.616,1.241,399.85
10.446,1.24,268.762
9.829,1.241,111.412
8.876,1.244,4.6
8.411,1.248,0
8.088,1.25,0
7.677,1.253,0
7.146,1.256,0
6.65,1.259,0
6.296,1.261,0
6.129,1.262,0
6.069,1.262,0
6.053,1.262,0
6.057,1.261,0
6.082,1.26,0
6.09,1.259,0
6.145,1.259,0
6.189,1.258,1.004
6.661,1.257,84.169
7.947,1.252,238.13
9.378,1.246,370.792
10.644,1.239,458.636
11.655,1.233,491.695
12.346,1.228,466.229
12.659,1.224,385.659
12.468,1.223,259.247
11.673,1.225,107.005
10.585,1.228,4.62
10.091,1.231,0
9.764,1.234,0
9.539,1.235,0
9.378,1.236,0
9.247,1.237,0
9.227,1.237,0
9.322,1.236,0
9.416,1.235,0
9.43,1.235,0
9.255,1.236,0
9.034,1.237,0
8.729,1.238,0
8.211,1.239,0
7.973,1.24,1.063
8.43,1.24,65.747
9.454,1.238,191.391
10.726,1.233,308.219
11.914,1.228,410.033
12.741,1.222,415.738
13.262,1.219,387.909
13.433,1.216,318.399
13.213,1.215,212.478
12.295,1.216,86.563
10.613,1.218,4.287
9.911,1.221,0
9.381,1.224,0
8.893,1.228,0
8.438,1.231,0
8.107,1.234,0
7.875,1.237,0
7.636,1.24,0
7.341,1.242,0
7.036,1.244,0
6.874,1.243,0
6.758,1.244,0
6.639,1.244,0
6.516,1.245,0
6.464,1.246,1
6.802,1.246,41.098
7.248,1.245,82.352
7.805,1.243,114.579
8.819,1.239,171.864
10.369,1.232,303.611
11.383,1.225,320.491
11.512,1.223,227.544
11.201,1.223,130.355
10.574,1.225,50.454
9.746,1.227,2.91
9.377,1.229,0
9.092,1.231,0
8.745,1.233,0
8.614,1.233,0
8.553,1.233,0
8.448,1.233,0
8.283,1.233,0
8.078,1.234,0
7.945,1.234,0
7.834,1.234,0
7.703,1.234,0
7.595,1.235,0
7.473,1.236,0
7.337,1.237,1.494
8.106,1.239,78.269
9.152,1.238,224.419
10.489,1.234,355.891
12.003,1.228,444.389
12.953,1.224,486.999
13.45,1.22,466.815
13.616,1.218,388.983
13.442,1.217,263.374
12.871,1.217,111.851
12.226,1.218,6.226
11.341,1.219,0
10.206,1.221,0
9.202,1.223,0
8.493,1.226,0
7.971,1.228,0
7.667,1.231,0
7.368,1.233,0
7.198,1.235,0
6.987,1.237,0
6.767,1.238,0
6.594,1.238,0
6.371,1.239,0
6.273,1.239,0
6.217,1.24,1.956
7.206,1.241,87.837
8.751,1.239,238.852
10.537,1.233,372.566
12.513,1.225,460.185
13.543,1.22,496.347
13.625,1.218,469.843
13.435,1.218,388.484
12.948,1.219,261.567
11.773,1.221,109.778
